Indicator,Year,Geography,Cases,Rate per 100000,Population
Linkage to HIV care,2010,Alabama,Data not available,NA,NA
Linkage to HIV care,2011,Alabama,Data not available,NA,NA
Linkage to HIV care,2012,Alabama,Data not available,NA,NA
Linkage to HIV care,2010,Arizona,Data not available,NA,NA
Linkage to HIV care,2011,Arizona,Data not available,NA,NA
Linkage to HIV care,2012,Arizona,Data not available,NA,NA
Linkage to HIV care,2013,Arizona,Data not available,NA,NA
Linkage to HIV care,2014,Arizona,Data not available,NA,NA
Linkage to HIV care,2015,Arizona,Data not available,NA,NA
Linkage to HIV care,2016,Arizona,Data not available,NA,NA
Linkage to HIV care,2010,Alaska,Data not available,NA,NA
Linkage to HIV care,2011,Alaska,Data not available,NA,NA
Linkage to HIV care,2012,Alaska,Data not available,NA,NA
Linkage to HIV care,2010,Arkansas,Data not available,NA,NA
Linkage to HIV care,2011,Arkansas,Data not available,NA,NA
Linkage to HIV care,2012,Arkansas,Data not available,NA,NA
Linkage to HIV care,2014,Arkansas,Data not available,NA,NA
Linkage to HIV care,2015,Arkansas,Data not available,NA,NA
Linkage to HIV care,2016,Arkansas,Data not available,NA,NA
Linkage to HIV care,2010,Colorado,Data not available,NA,NA
Linkage to HIV care,2011,Colorado,Data not available,NA,NA
Linkage to HIV care,2012,Colorado,Data not available,NA,NA
Linkage to HIV care,2014,Colorado,Data not available,NA,NA
Linkage to HIV care,2012,Delaware,Data not available,NA,NA
Linkage to HIV care,2013,Delaware,Data not available,NA,NA
Linkage to HIV care,2014,Delaware,Data not available,NA,NA
Linkage to HIV care,2010,Connecticut,Data not available,NA,NA
Linkage to HIV care,2011,Connecticut,Data not available,NA,NA
Linkage to HIV care,2012,Connecticut,Data not available,NA,NA
Linkage to HIV care,2013,Connecticut,Data not available,NA,NA
Linkage to HIV care,2014,Connecticut,Data not available,NA,NA
Linkage to HIV care,2013,District of Columbia,Data not available,NA,NA
Linkage to HIV care,2010,Florida,Data not available,NA,NA
Linkage to HIV care,2011,Florida,Data not available,NA,NA
Linkage to HIV care,2012,Florida,Data not available,NA,NA
Linkage to HIV care,2013,Florida,Data not available,NA,NA
Linkage to HIV care,2014,Florida,Data not available,NA,NA
Linkage to HIV care,2015,Florida,Data not available,NA,NA
Linkage to HIV care,2010,Georgia,Data not available,NA,NA
Linkage to HIV care,2012,Georgia,Data not available,NA,NA
Linkage to HIV care,2013,Georgia,Data not available,NA,NA
Linkage to HIV care,2010,Hawaii,Data not available,NA,NA
Linkage to HIV care,2010,Idaho,Data not available,NA,NA
Linkage to HIV care,2011,Idaho,Data not available,NA,NA
Linkage to HIV care,2012,Idaho,Data not available,NA,NA
Linkage to HIV care,2013,Idaho,Data not available,NA,NA
Linkage to HIV care,2014,Idaho,Data not available,NA,NA
Linkage to HIV care,2015,Idaho,Data not available,NA,NA
Linkage to HIV care,2016,Idaho,Data not available,NA,NA
Linkage to HIV care,2010,Kansas,Data not available,NA,NA
Linkage to HIV care,2011,Kansas,Data not available,NA,NA
Linkage to HIV care,2012,Kansas,Data not available,NA,NA
Linkage to HIV care,2013,Kansas,Data not available,NA,NA
Linkage to HIV care,2014,Kansas,Data not available,NA,NA
Linkage to HIV care,2015,Kansas,Data not available,NA,NA
Linkage to HIV care,2016,Kansas,Data not available,NA,NA
Linkage to HIV care,2010,Maine,Data not available,NA,NA
Linkage to HIV care,2011,Maine,Data not available,NA,NA
Linkage to HIV care,2012,Maine,Data not available,NA,NA
Linkage to HIV care,2010,Louisiana,Data not available,NA,NA
Linkage to HIV care,2010,Kentucky,Data not available,NA,NA
Linkage to HIV care,2011,Kentucky,Data not available,NA,NA
Linkage to HIV care,2012,Kentucky,Data not available,NA,NA
Linkage to HIV care,2013,Kentucky,Data not available,NA,NA
Linkage to HIV care,2014,Kentucky,Data not available,NA,NA
Linkage to HIV care,2015,Kentucky,Data not available,NA,NA
Linkage to HIV care,2016,Kentucky,Data not available,NA,NA
Linkage to HIV care,2010,Maryland,Data not available,NA,NA
Linkage to HIV care,2011,Maryland,Data not available,NA,NA
Linkage to HIV care,2010,Massachusetts,Data not available,NA,NA
Linkage to HIV care,2011,Massachusetts,Data not available,NA,NA
Linkage to HIV care,2012,Massachusetts,Data not available,NA,NA
Linkage to HIV care,2013,Massachusetts,Data not available,NA,NA
Linkage to HIV care,2010,Mississippi,Data not available,NA,NA
Linkage to HIV care,2011,Mississippi,Data not available,NA,NA
Linkage to HIV care,2012,Mississippi,Data not available,NA,NA
Linkage to HIV care,2013,Mississippi,Data not available,NA,NA
Linkage to HIV care,2012,Minnesota,Data not available,NA,NA
Linkage to HIV care,2013,Minnesota,Data not available,NA,NA
Linkage to HIV care,2010,Michigan,Data not available,NA,NA
Linkage to HIV care,2010,Montana,Data not available,NA,NA
Linkage to HIV care,2011,Montana,Data not available,NA,NA
Linkage to HIV care,2012,Montana,Data not available,NA,NA
Linkage to HIV care,2013,Montana,Data not available,NA,NA
Linkage to HIV care,2014,Montana,Data not available,NA,NA
Linkage to HIV care,2012,Nebraska,Data not available,NA,NA
Linkage to HIV care,2010,New Hampshire,Data not available,NA,NA
Linkage to HIV care,2010,Nevada,Data not available,NA,NA
Linkage to HIV care,2011,Nevada,Data not available,NA,NA
Linkage to HIV care,2012,Nevada,Data not available,NA,NA
Linkage to HIV care,2013,Nevada,Data not available,NA,NA
Linkage to HIV care,2014,Nevada,Data not available,NA,NA
Linkage to HIV care,2015,Nevada,Data not available,NA,NA
Linkage to HIV care,2016,Nevada,Data not available,NA,NA
Linkage to HIV care,2010,New Jersey,Data not available,NA,NA
Linkage to HIV care,2011,New Jersey,Data not available,NA,NA
Linkage to HIV care,2012,New Jersey,Data not available,NA,NA
Linkage to HIV care,2013,New Jersey,Data not available,NA,NA
Linkage to HIV care,2014,New Jersey,Data not available,NA,NA
Linkage to HIV care,2015,New Jersey,Data not available,NA,NA
Linkage to HIV care,2016,New Jersey,Data not available,NA,NA
